Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
NIO(62914V106),NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A,5.00,11/18/2020,11/23/2020,$274.84 ,$217.80 ,$57.04 ,-
NIO(62914V106),NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A,0.58,11/18/2020,11/23/2020,$31.99 ,$25.35 ,$6.64 ,-
NIO(62914V106),NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A,0.16,11/18/2020,11/23/2020,$8.62 ,$6.84 ,$1.78 ,-
NIO(62914V106),NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A,6.00,09/23/2020,11/04/20,$231.26 ,$112.72 ,$118.54 ,-
NIO(62914V106),NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A,5.00,10/14/2020,11/04/20,$192.72 ,$132.05 ,$60.67 ,-
NIO(62914V106),NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A,5.00,10/22/2020,11/04/20,$192.71 ,$137.90 ,$54.81 ,-
NKLA(654110105),NIKOLA CORP COM,10.00,10/28/2020,11/04/20,$187.39 ,$197.90 ,($10.51),-
,,,,Wash Sale,$0.00 ,($0.64),$0.64 ,-
NKLA(654110105),NIKOLA CORP COM,0.11,10/28/2020,11/04/20,$1.99 ,$2.10 ,($0.11),-
NKLA(654110105),NIKOLA CORP COM,4.89,10/30/2020,11/04/20,$91.71 ,$88.92 ,$2.79 ,-
NKLA(654110105),NIKOLA CORP COM,0.11,10/28/2020,11/04/20,$1.98 ,$2.04 ,($0.06),-
NKLA(654110105),NIKOLA CORP COM,0.50,10/28/2020,11/04/20,$9.42 ,$9.68 ,($0.26),-
NMR(65535H208),NOMURA HOLDINGS ADR REPTG ONE ORD,0.57,09/30/2020,11/04/20,$2.70 ,$2.63 ,$0.07 ,-
NMR(65535H208),NOMURA HOLDINGS ADR REPTG ONE ORD,43.00,09/30/2020,10/27/2020,$200.59 ,$197.37 ,$3.22 ,-
NVAX(670002401),NOVAVAX INC COM NEW,1.00,09/28/2020,11/04/20,$85.69 ,$110.44 ,($24.75),-
,,,,Wash Sale,$0.00 ,($16.31),$16.31 ,-
NVAX(670002401),NOVAVAX INC COM NEW,1.00,10/21/2020,11/04/20,$85.69 ,$93.87 ,($8.18),-
NVAX(670002401),NOVAVAX INC COM NEW,0.84,10/27/2020,11/04/20,$71.72 ,$74.92 ,($3.20),-
NVAX(670002401),NOVAVAX INC COM NEW,1.00,10/29/2020,11/04/20,$85.69 ,$82.33 ,$3.36 ,-
NVAX(670002401),NOVAVAX INC COM NEW,0.16,10/29/2020,11/04/20,$13.95 ,$13.41 ,$0.54 ,-
NVAX(670002401),NOVAVAX INC COM NEW,0.66,09/28/2020,11/04/20,$56.43 ,$70.55 ,($14.12),-
NVDA(67066G104),NVIDIA CORPORATION COM,0.57,09/29/2020,11/04/20,$314.09 ,$300.00 ,$14.09 ,-
NVDA(67066G104),NVIDIA CORPORATION COM,0.37,10/22/2020,11/04/20,$205.36 ,$199.69 ,$5.67 ,-
NVDA(67066G104),NVIDIA CORPORATION COM,0.05,10/30/2020,11/04/20,$29.65 ,$26.84 ,$2.81 ,-
NVDA(67066G104),NVIDIA CORPORATION COM,0.15,10/30/2020,11/04/20,$80.66 ,$73.05 ,$7.61 ,-
PAYC(70432V102),PAYCOM SOFTWARE INC COM USD0.01,0.18,08/04/20,11/04/20,$69.08 ,$49.81 ,$19.27 ,-
PDD(722304102),PINDUODUO INC SPON ADS EACH REP 4 ORD SHS,1.00,11/17/2020,11/23/2020,$142.79 ,$133.59 ,$9.20 ,-
PDD(722304102),PINDUODUO INC SPON ADS EACH REP 4 ORD SHS,0.87,11/17/2020,11/23/2020,$124.35 ,$116.39 ,$7.96 ,-
PDD(722304102),PINDUODUO INC SPON ADS EACH REP 4 ORD SHS,1.00,09/23/2020,10/29/2020,$96.17 ,$78.23 ,$17.94 ,-
PDD(722304102),PINDUODUO INC SPON ADS EACH REP 4 ORD SHS,0.96,09/29/2020,10/29/2020,$92.31 ,$69.97 ,$22.34 ,-
PFE(717081103),PFIZER INC,2.00,07/21/2020,10/27/2020,$76.18 ,$73.54 ,$2.64 ,-
PFE(717081103),PFIZER INC,0.72,07/21/2020,10/27/2020,$27.37 ,$26.44 ,$0.93 ,-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,0.72,11/12/20,11/17/2020,$12.36 ,$10.87 ,$1.49 ,-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,32.00,11/12/20,11/12/20,$477.75 ,$488.93 ,($11.18),-
,,,,Wash Sale,$0.00 ,($0.25),$0.25 ,-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,0.72,11/12/20,11/12/20,$10.81 ,$11.06 ,($0.25),-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,32.00,11/12/20,11/12/20,$477.75 ,$478.40 ,($0.65),-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,31.28,11/12/20,11/12/20,$466.93 ,$458.82 ,$8.11 ,-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,0.55,09/30/2020,10/01/20,$5.08 ,$5.20 ,($0.12),-
,,,,Wash Sale,$0.00 ,($0.12),$0.12 ,-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,0.55,09/30/2020,10/01/20,$5.09 ,$5.32 ,($0.23),-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,9.45,09/30/2020,10/01/20,$87.75 ,$89.60 ,($1.85),-
PLUG(72919P202),PLUG POWER INC,22.00,11/17/2020,11/23/2020,$590.08 ,$499.62 ,$90.46 ,-
PLUG(72919P202),PLUG POWER INC,0.02,11/17/2020,11/23/2020,$0.43 ,$0.36 ,$0.07 ,-
PLUG(72919P202),PLUG POWER INC,9.00,09/24/2020,11/04/20,$146.34 ,$100.20 ,$46.14 ,-
PLUG(72919P202),PLUG POWER INC,7.00,10/26/2020,11/04/20,$113.82 ,$99.82 ,$14.00 ,-
PLUG(72919P202),PLUG POWER INC,6.00,10/29/2020,11/04/20,$97.55 ,$86.95 ,$10.60 ,-
PLUG(72919P202),PLUG POWER INC,0.90,10/29/2020,11/04/20,$14.62 ,$13.05 ,$1.57 ,-
POWI(739276103),POWER INTEGRATIONS INC WHEN ISSUED,5.00,10/28/2020,11/04/20,$309.55 ,$278.80 ,$30.75 ,-
POWI(739276103),POWER INTEGRATIONS INC WHEN ISSUED,0.38,10/28/2020,11/04/20,$23.45 ,$21.16 ,$2.29 ,-
PTON(70614W100),PELOTON INTERACTIVE INC CL A COM,2.00,09/30/2020,11/04/20,$232.69 ,$199.36 ,$33.33 ,-
PTON(70614W100),PELOTON INTERACTIVE INC CL A COM,0.85,10/26/2020,11/04/20,$98.63 ,$99.97 ,($1.34),-
,,,,Wash Sale,$0.00 ,($1.34),$1.34 ,-
RNG(76680R206),RINGCENTRAL INC-CLASS A,0.55,10/28/2020,11/04/20,$152.34 ,$149.89 ,$2.45 ,-
RUN(86771W105),SUNRUN INC COM,1.10,09/29/2020,11/04/20,$59.46 ,$80.55 ,($21.09),-
,,,,Wash Sale,$0.00 ,($5.69),$5.69 ,-
RUN(86771W105),SUNRUN INC COM,0.27,09/29/2020,11/04/20,$14.38 ,$19.44 ,($5.06),-
RUN(86771W105),SUNRUN INC COM,2.00,10/16/2020,11/04/20,$108.12 ,$125.86 ,($17.74),-
RUN(86771W105),SUNRUN INC COM,2.00,10/20/2020,11/04/20,$108.12 ,$126.34 ,($18.22),-
RUN(86771W105),SUNRUN INC COM,2.00,10/22/2020,11/04/20,$108.12 ,$109.91 ,($1.79),-
RUN(86771W105),SUNRUN INC COM,1.00,10/30/2020,11/04/20,$54.06 ,$51.15 ,$2.91 ,-
RUN(86771W105),SUNRUN INC COM,0.95,10/30/2020,11/04/20,$51.57 ,$48.80 ,$2.77 ,-
RUN(86771W105),SUNRUN INC COM,0.68,10/30/2020,11/04/20,$36.75 ,$34.79 ,$1.96 ,-
RUN(86771W105),SUNRUN INC COM,0.30,09/29/2020,11/04/20,$16.04 ,$20.88 ,($4.84),-
SAP(803054204),SAP ADR REP 1 ORD,2.00,10/26/2020,11/04/20,$227.01 ,$235.29 ,($8.28),-
,,,,Wash Sale,$0.00 ,($2.84),$2.84 ,-
SAP(803054204),SAP ADR REP 1 ORD,0.03,10/26/2020,11/04/20,$3.52 ,$3.65 ,($0.13),-
SAP(803054204),SAP ADR REP 1 ORD,0.65,10/27/2020,11/04/20,$74.23 ,$74.97 ,($0.74),-
SAP(803054204),SAP ADR REP 1 ORD,0.32,11/02/20,11/04/20,$35.76 ,$33.20 ,$2.56 ,-
SAP(803054204),SAP ADR REP 1 ORD,0.69,10/26/2020,11/04/20,$77.70 ,$75.03 ,$2.67 ,-
SEDG(83417M104),SOLAREDGE TECHNOLOGIES INC,0.99,11/05/20,11/23/2020,$261.46 ,$298.85 ,($37.39),-
SEDG(83417M104),SOLAREDGE TECHNOLOGIES INC,1.02,11/12/20,11/23/2020,$269.41 ,$247.80 ,$21.61 ,-
,,,,Wash Sale,$0.00 ,($6.69),$6.69 ,-
SEDG(83417M104),SOLAREDGE TECHNOLOGIES INC,0.15,11/13/2020,11/23/2020,$40.08 ,$35.09 ,$4.99 ,-
SEDG(83417M104),SOLAREDGE TECHNOLOGIES INC,1.85,11/13/2020,11/23/2020,$490.82 ,$418.28 ,$72.54 ,-
SEDG(83417M104),SOLAREDGE TECHNOLOGIES INC,0.15,10/30/2020,11/23/2020,$40.02 ,$40.85 ,($0.83),-
SEDG(83417M104),SOLAREDGE TECHNOLOGIES INC,0.45,09/29/2020,11/04/20,$92.89 ,$99.83 ,($6.94),-
,,,,Wash Sale,$0.00 ,($6.94),$6.94 ,-
SEDG(83417M104),SOLAREDGE TECHNOLOGIES INC,0.70,10/21/2020,11/04/20,$145.56 ,$199.87 ,($54.31),-
,,,,Wash Sale,$0.00 ,($54.31),$54.31 ,-
SEDG(83417M104),SOLAREDGE TECHNOLOGIES INC,0.28,10/27/2020,11/04/20,$58.68 ,$74.82 ,($16.14),-
,,,,Wash Sale,$0.00 ,($16.14),$16.14 ,-
SEDG(83417M104),SOLAREDGE TECHNOLOGIES INC,0.47,11/03/20,11/04/20,$97.24 ,$99.90 ,($2.66),-
,,,,Wash Sale,$0.00 ,($2.66),$2.66 ,-
SEDG(83417M104),SOLAREDGE TECHNOLOGIES INC,0.10,11/03/20,11/04/20,$20.32 ,$20.81 ,($0.49),-
,,,,Wash Sale,$0.00 ,($0.49),$0.49 ,-
SEDG(83417M104),SOLAREDGE TECHNOLOGIES INC,0.37,09/29/2020,11/04/20,$77.06 ,$84.76 ,($7.70),-
,,,,Wash Sale,$0.00 ,($7.70),$7.70 ,-
SEDG(83417M104),SOLAREDGE TECHNOLOGIES INC,0.49,10/21/2020,11/04/20,$100.46 ,$132.73 ,($32.27),-
,,,,Wash Sale,$0.00 ,($32.27),$32.27 ,-
SFIX(860897107),STITCH FIX INC COM CL A,11.00,11/17/2020,11/23/2020,$410.90 ,$389.96 ,$20.94 ,-
SFIX(860897107),STITCH FIX INC COM CL A,0.28,11/17/2020,11/23/2020,$10.55 ,$10.03 ,$0.52 ,-
SINA(G81477104),SINA CORPORATION (CAY) COM USD0.133,0.50,07/07/20,11/04/20,$21.40 ,$20.09 ,$1.31 ,-
SLV(46428Q109),ISHARES SILVER TR ISHARES,11.00,10/29/2020,11/04/20,$244.58 ,$237.49 ,$7.09 ,-
SLV(46428Q109),ISHARES SILVER TR ISHARES,0.58,10/29/2020,11/04/20,$12.86 ,$12.50 ,$0.36 ,-
SPCE(92766K106),VIRGIN GALACTIC HOLDINGS INC COM,2.00,08/04/20,11/04/20,$36.76 ,$42.01 ,($5.25),-
,,,,Wash Sale,$0.00 ,($1.00),$1.00 ,-
SPCE(92766K106),VIRGIN GALACTIC HOLDINGS INC COM,0.38,08/04/20,11/04/20,$6.98 ,$7.98 ,($1.00),-
SPCE(92766K106),VIRGIN GALACTIC HOLDINGS INC COM,7.00,09/23/2020,11/04/20,$128.66 ,$109.88 ,$18.78 ,-
SPCE(92766K106),VIRGIN GALACTIC HOLDINGS INC COM,4.62,10/28/2020,11/04/20,$84.91 ,$80.94 ,$3.97 ,-
SPCE(92766K106),VIRGIN GALACTIC HOLDINGS INC COM,0.38,08/04/20,11/04/20,$6.97 ,$7.66 ,($0.69),-
SPWR(867652406),SUNPOWER CORP,12.00,10/27/2020,11/04/20,$195.89 ,$186.60 ,$9.29 ,-
SPWR(867652406),SUNPOWER CORP,0.86,10/27/2020,11/04/20,$14.04 ,$13.40 ,$0.64 ,-
SQ(852234103),SQUARE INC CL A,1.00,10/21/2020,11/04/20,$169.62 ,$177.58 ,($7.96),-
,,,,Wash Sale,$0.00 ,($0.23),$0.23 ,-
SQ(852234103),SQUARE INC CL A,0.59,10/26/2020,11/04/20,$100.41 ,$99.88 ,$0.53 ,-
SQ(852234103),SQUARE INC CL A,0.41,10/27/2020,11/04/20,$69.20 ,$69.91 ,($0.71),-
SQ(852234103),SQUARE INC CL A,0.03,10/21/2020,11/04/20,$4.91 ,$5.20 ,($0.29),-
SU(867224107),SUNCOR ENERGY COM NPV NEW ISIN #CA8672241079 SEDOL #B3NB1P2,8.00,10/01/20,11/02/20,$94.51 ,$93.28 ,$1.23 ,-
SU(867224107),SUNCOR ENERGY COM NPV NEW ISIN #CA8672241079 SEDOL #B3NB1P2,0.58,10/01/20,11/02/20,$6.79 ,$6.72 ,$0.07 ,-
TDOC(87918A105),TELADOC HEALTH INC COM,0.24,08/05/20,11/04/20,$47.76 ,$49.81 ,($2.05),-
,,,,Wash Sale,$0.00 ,($2.05),$2.05 ,-
TDOC(87918A105),TELADOC HEALTH INC COM,0.50,10/30/2020,11/04/20,$101.83 ,$99.82 ,$2.01 ,-
TDOC(87918A105),TELADOC HEALTH INC COM,0.26,11/02/20,11/04/20,$53.66 ,$50.32 ,$3.34 ,-
TDOC(87918A105),TELADOC HEALTH INC COM,0.50,11/02/20,11/04/20,$101.72 ,$95.50 ,$6.22 ,-
TDOC(87918A105),TELADOC HEALTH INC COM,0.24,08/05/20,11/04/20,$47.71 ,$46.84 ,$0.87 ,-
TOT(89151E109),TOTAL SE SPON ADS EAREP 1 ORD SHS,5.00,10/01/20,11/04/20,$163.79 ,$168.14 ,($4.35),-
,,,,Wash Sale,$0.00 ,($0.34),$0.34 ,-
TOT(89151E109),TOTAL SE SPON ADS EAREP 1 ORD SHS,0.96,10/01/20,11/04/20,$31.58 ,$32.42 ,($0.84),-
TOT(89151E109),TOTAL SE SPON ADS EAREP 1 ORD SHS,2.00,10/27/2020,11/04/20,$65.52 ,$61.95 ,$3.57 ,-
TOT(89151E109),TOTAL SE SPON ADS EAREP 1 ORD SHS,0.04,10/27/2020,11/04/20,$1.18 ,$1.12 ,$0.06 ,-
TOT(89151E109),TOTAL SE SPON ADS EAREP 1 ORD SHS,0.39,10/01/20,11/04/20,$12.83 ,$12.48 ,$0.35 ,-
TQQQ(74347X831),PROSHARES ULTRAPRO QQQ,2.00,09/28/2020,11/04/20,$283.71 ,$254.98 ,$28.73 ,-
TQQQ(74347X831),PROSHARES ULTRAPRO QQQ,1.00,10/26/2020,11/04/20,$141.86 ,$130.70 ,$11.16 ,-
TQQQ(74347X831),PROSHARES ULTRAPRO QQQ,2.00,10/28/2020,11/04/20,$283.71 ,$245.92 ,$37.79 ,-
TQQQ(74347X831),PROSHARES ULTRAPRO QQQ,2.00,10/30/2020,11/04/20,$283.72 ,$230.16 ,$53.56 ,-
TSLA(88160R101),TESLA INC COM,0.61,10/28/2020,11/04/20,$257.84 ,$249.81 ,$8.03 ,-
TSN(902494103),TYSON FOODS INC,2.00,09/28/2020,10/26/2020,$118.53 ,$121.46 ,($2.93),-
TWLO(90138F102),TWILIO INC CL A,0.17,08/04/20,11/04/20,$53.11 ,$49.72 ,$3.39 ,-
TWLO(90138F102),TWILIO INC CL A,0.37,11/02/20,11/04/20,$112.34 ,$99.81 ,$12.53 ,-
UAL(910047109),UNITED AIRLS HLDGS INC COM,1.00,05/22/2020,10/05/20,$35.70 ,$26.37 ,$9.33 ,-
UAL(910047109),UNITED AIRLS HLDGS INC COM,5.00,05/26/2020,10/05/20,$178.49 ,$143.75 ,$34.74 ,-
UCO(74347Y888),PROSHARES TR II ULTABLMBG 2017,0.61,11/12/20,11/17/2020,$17.01 ,$18.20 ,($1.19),-
UCO(74347Y888),PROSHARES TR II ULTABLMBG 2017,0.05,11/12/20,11/17/2020,$1.26 ,$1.31 ,($0.05),-
UCO(74347Y888),PROSHARES TR II ULTABLMBG 2017,0.61,11/12/20,11/12/20,$17.12 ,$17.64 ,($0.52),-
,,,,Wash Sale,$0.00 ,($0.52),$0.52 ,-
UCO(74347Y888),PROSHARES TR II ULTABLMBG 2017,67.40,11/12/20,11/12/20,$1907.30 ,$1964.70 ,($57.40),-
,,,,Wash Sale,$0.00 ,($57.40),$57.40 ,-
UCO(74347Y888),PROSHARES TR II ULTABLMBG 2017,0.61,11/12/20,11/12/20,$17.07 ,$18.16 ,($1.09),-
,,,,Wash Sale,$0.00 ,($1.09),$1.09 ,-
UCO(74347Y888),PROSHARES TR II ULTABLMBG 2017,67.40,11/12/20,11/12/20,$1901.50 ,$1962.99 ,($61.49),-
,,,,Wash Sale,$0.00 ,($0.04),$0.04 ,-
UNFI(911163103),UNITED NATURAL FOODSCOM USD0.01,5.00,09/29/2020,11/04/20,$76.55 ,$83.73 ,($7.18),-
UNFI(911163103),UNITED NATURAL FOODSCOM USD0.01,0.97,09/29/2020,11/04/20,$14.85 ,$16.26 ,($1.41),-
UVXY(74347W148),PROSHARES TR II ULTRA VIX SHORT,0.75,11/13/2020,11/20/2020,$9.19 ,$10.19 ,($1.00),-
,,,,Wash Sale,$0.00 ,($1.00),$1.00 ,-
UVXY(74347W148),PROSHARES TR II ULTRA VIX SHORT,35.25,11/13/2020,11/20/2020,$432.87 ,$479.61 ,($46.74),-
UVXY(74347W148),PROSHARES TR II ULTRA VIX SHORT,0.75,11/13/2020,11/20/2020,$9.20 ,$11.19 ,($1.99),-
UVXY(74347W148),PROSHARES TR II ULTRA VIX SHORT,0.01,10/12/20,11/04/20,$0.08 ,$0.08 ,$0.00 ,-
UVXY(74347W148),PROSHARES TR II ULTRA VIX SHORT,12.00,10/12/20,10/28/2020,$250.79 ,$199.92 ,$50.87 ,-
VNE(92336X109),VEONEER INC COM USD1,9.00,11/03/20,11/04/20,$149.21 ,$149.31 ,($0.10),-
VNE(92336X109),VEONEER INC COM USD1,0.04,11/03/20,11/04/20,$0.67 ,$0.68 ,($0.01),-
VRM(92918V109),VROOM INC COM,0.03,11/12/20,11/17/2020,$0.90 ,$1.01 ,($0.11),-
VRM(92918V109),VROOM INC COM,26.00,11/12/20,11/12/20,$969.77 ,$955.76 ,$14.01 ,-
VRM(92918V109),VROOM INC COM,1.00,11/12/20,11/12/20,$37.30 ,$36.80 ,$0.50 ,-
VRM(92918V109),VROOM INC COM,0.20,11/12/20,11/12/20,$7.52 ,$7.43 ,$0.09 ,-
VRM(92918V109),VROOM INC COM,27.00,11/12/20,11/12/20,$965.49 ,$999.00 ,($33.51),-
,,,,Wash Sale,$0.00 ,($26.36),$26.36 ,-
VRM(92918V109),VROOM INC COM,0.03,11/12/20,11/12/20,$0.97 ,$1.00 ,($0.03),-
VRM(92918V109),VROOM INC COM,13.00,11/12/20,11/12/20,$464.87 ,$478.38 ,($13.51),-
VRM(92918V109),VROOM INC COM,11.97,11/12/20,11/12/20,$428.14 ,$434.26 ,($6.12),-
W(94419L101),WAYFAIR INC,1.00,11/16/2020,11/23/2020,$256.60 ,$240.20 ,$16.40 ,-
W(94419L101),WAYFAIR INC,0.26,11/16/2020,11/23/2020,$66.67 ,$61.85 ,$4.82 ,-
W(94419L101),WAYFAIR INC,0.31,10/21/2020,11/04/20,$83.44 ,$86.00 ,($2.56),-
,,,,Wash Sale,$0.00 ,($2.56),$2.56 ,-
W(94419L101),WAYFAIR INC,0.43,10/21/2020,11/04/20,$116.11 ,$119.78 ,($3.67),-
,,,,Wash Sale,$0.00 ,($3.67),$3.67 ,-
W(94419L101),WAYFAIR INC,0.26,10/22/2020,11/04/20,$70.47 ,$68.98 ,$1.49 ,-
W(94419L101),WAYFAIR INC,0.12,10/21/2020,11/04/20,$31.57 ,$31.89 ,($0.32),-
,,,,Wash Sale,$0.00 ,($0.32),$0.32 ,-
W(94419L101),WAYFAIR INC,0.13,10/29/2020,11/04/20,$36.16 ,$35.44 ,$0.72 ,-
W(94419L101),WAYFAIR INC,0.62,10/21/2020,11/04/20,$167.84 ,$169.77 ,($1.93),-
,,,,Wash Sale,$0.00 ,($1.93),$1.93 ,-
WKHS(98138J206),WORKHORSE GROUP INC COM NEW,16.00,11/17/2020,11/23/2020,$452.47 ,$342.68 ,$109.79 ,-
WKHS(98138J206),WORKHORSE GROUP INC COM NEW,0.34,11/17/2020,11/23/2020,$9.63 ,$7.30 ,$2.33 ,-
XPEV(98422D105),XPENG INC SPON ADS EACH REP 2 CL A ORD SHS,10.00,11/19/2020,11/23/2020,$677.48 ,$479.35 ,$198.13 ,-
XPEV(98422D105),XPENG INC SPON ADS EACH REP 2 CL A ORD SHS,5.00,09/23/2020,11/04/20,$132.31 ,$94.65 ,$37.66 ,-
XPEV(98422D105),XPENG INC SPON ADS EACH REP 2 CL A ORD SHS,1.00,09/24/2020,11/04/20,$26.46 ,$17.89 ,$8.57 ,-
XPEV(98422D105),XPENG INC SPON ADS EACH REP 2 CL A ORD SHS,1.00,09/24/2020,11/04/20,$26.47 ,$17.86 ,$8.61 ,-
,,,,,,,,
,,,,,,,"$2,569.06 ",
,,,,,,,,
,,,,,,,,
,Total Amount Invested ,"$9,700.00 ",,,,,,
,Current Portfolio Value,"$12,269.06 ",,,,,,
,Profit/Loss,26.49%,,,,,,
,From September 21st 2020 to 23rd November 2020,,,,,,,